Device: cuda | threads: 4
=== FASE 3 | 13 trial (questo worker) | 50 epoche ===

Caricamento dataset...
Trovati 34 trial.
  [trial_20260519_151133.csv] attenzione: calibrazione a riposo su 37 campioni (< 50)
Dataset grezzo: 34 trial letti. Scaler e finestre verranno costruiti in split_by_trial() (fit solo sul training set).
Best arch (fase 1/2):   gru_hidden=256, mlp_hidden=256
Best training (fase 2): lr=8.77e-04, batch_size=32, lambda_future=0.111 (val 0.0505)

[I 2026-09-06 11:08:17,629] Using an existing study with name 'fish_inverse_phase3' instead of creating a new one.
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/scaler/scalers_inverse.pkl (nessun refit).
Dataset: 27324 campioni da 34 trial. seq feature/timestep = 2
  Trial 3 | Epoch  0 | val 0.1127
  Trial 3 | Epoch  1 | val 0.0952
  Trial 3 | Epoch  2 | val 0.0874
  Trial 3 | Epoch  3 | val 0.0770
  Trial 3 | Epoch  4 | val 0.0739
  Trial 3 | Epoch  5 | val 0.0730
  Trial 3 | Epoch  6 | val 0.0624
  Trial 3 | Epoch  7 | val 0.0649
  Trial 3 | Epoch  8 | val 0.0777
  Trial 3 | Epoch  9 | val 0.0653
  Trial 3 | Epoch 10 | val 0.0666
  Trial 3 | Epoch 11 | val 0.0627
  Trial 3 | Epoch 12 | val 0.0634
  Trial 3 | Epoch 13 | val 0.0602
  Trial 3 | Epoch 14 | val 0.0613
  Trial 3 | Epoch 15 | val 0.0619
  Trial 3 | Epoch 16 | val 0.0597
  Trial 3 | Epoch 17 | val 0.0630
  Trial 3 | Epoch 18 | val 0.0592
  Trial 3 | Epoch 19 | val 0.0603
  Trial 3 | Epoch 20 | val 0.0568
  Trial 3 | Epoch 21 | val 0.0566
  Trial 3 | Epoch 22 | val 0.0622
  Trial 3 | Epoch 23 | val 0.0609
  Trial 3 | Epoch 24 | val 0.0592
  Trial 3 | Epoch 25 | val 0.0573
  Trial 3 | Epoch 26 | val 0.0578
  Trial 3 | Epoch 27 | val 0.0599
  Trial 3 | Epoch 28 | val 0.0619
  Trial 3 | Epoch 29 | val 0.0575
  Trial 3 | Epoch 30 | val 0.0590
  Trial 3 | Epoch 31 | val 0.0560
  Trial 3 | Epoch 32 | val 0.0592
  Trial 3 | Epoch 33 | val 0.0556
  Trial 3 | Epoch 34 | val 0.0578
  Trial 3 | Epoch 35 | val 0.0578
  Trial 3 | Epoch 36 | val 0.0584
  Trial 3 | Epoch 37 | val 0.0565
  Trial 3 | Epoch 38 | val 0.0566
  Trial 3 | Epoch 39 | val 0.0591
  Trial 3 | Epoch 40 | val 0.0572
  Trial 3 | Epoch 41 | val 0.0585
  Trial 3 | Epoch 42 | val 0.0565
  Trial 3 | Epoch 43 | val 0.0562
  Trial 3 | Epoch 44 | val 0.0580
  Trial 3 | Epoch 45 | val 0.0570
  Trial 3 | Epoch 46 | val 0.0567
  Trial 3 | Epoch 47 | val 0.0570
  Trial 3 | Epoch 48 | val 0.0554
  Trial 3 | Epoch 49 | val 0.0571
[I 2026-09-06 11:16:46,583] Trial 3 finished with value: 0.05544976729538236 and parameters: {'gru_hidden': 128, 'mlp_hidden': 256, 'lr': 0.0016992227505670818, 'batch_size': 32, 'lambda_future': 0.26890124887215466}. Best is trial 3 with value: 0.05544976729538236.
  Trial 8 | Epoch  0 | val 0.1357
  Trial 8 | Epoch  1 | val 0.1073
  Trial 8 | Epoch  2 | val 0.0942
  Trial 8 | Epoch  3 | val 0.0912
  Trial 8 | Epoch  4 | val 0.0811
  Trial 8 | Epoch  5 | val 0.0760
  Trial 8 | Epoch  6 | val 0.0796
  Trial 8 | Epoch  7 | val 0.0738
  Trial 8 | Epoch  8 | val 0.0717
  Trial 8 | Epoch  9 | val 0.0700
  Trial 8 | Epoch 10 | val 0.0678
  Trial 8 | Epoch 11 | val 0.0693
  Trial 8 | Epoch 12 | val 0.0683
  Trial 8 | Epoch 13 | val 0.0663
  Trial 8 | Epoch 14 | val 0.0673
[I 2026-09-06 11:19:12,992] Trial 8 pruned. 
  Trial 13 | Epoch  0 | val 0.1201
  Trial 13 | Epoch  1 | val 0.1021
  Trial 13 | Epoch  2 | val 0.0852
  Trial 13 | Epoch  3 | val 0.0761
  Trial 13 | Epoch  4 | val 0.0789
  Trial 13 | Epoch  5 | val 0.0704
  Trial 13 | Epoch  6 | val 0.0687
  Trial 13 | Epoch  7 | val 0.0633
  Trial 13 | Epoch  8 | val 0.0643
  Trial 13 | Epoch  9 | val 0.0613
  Trial 13 | Epoch 10 | val 0.0623
  Trial 13 | Epoch 11 | val 0.0577
  Trial 13 | Epoch 12 | val 0.0580
  Trial 13 | Epoch 13 | val 0.0597
  Trial 13 | Epoch 14 | val 0.0594
  Trial 13 | Epoch 15 | val 0.0591
  Trial 13 | Epoch 16 | val 0.0579
  Trial 13 | Epoch 17 | val 0.0576
  Trial 13 | Epoch 18 | val 0.0557
  Trial 13 | Epoch 19 | val 0.0567
  Trial 13 | Epoch 20 | val 0.0552
  Trial 13 | Epoch 21 | val 0.0595
  Trial 13 | Epoch 22 | val 0.0612
  Trial 13 | Epoch 23 | val 0.0553
  Trial 13 | Epoch 24 | val 0.0544
  Trial 13 | Epoch 25 | val 0.0576
  Trial 13 | Epoch 26 | val 0.0530
  Trial 13 | Epoch 27 | val 0.0523
  Trial 13 | Epoch 28 | val 0.0566
  Trial 13 | Epoch 29 | val 0.0544
  Trial 13 | Epoch 30 | val 0.0551
  Trial 13 | Epoch 31 | val 0.0559
  Trial 13 | Epoch 32 | val 0.0545
  Trial 13 | Epoch 33 | val 0.0556
  Trial 13 | Epoch 34 | val 0.0547
  Trial 13 | Epoch 35 | val 0.0533
  Trial 13 | Epoch 36 | val 0.0547
  Trial 13 | Epoch 37 | val 0.0542
  Trial 13 | Epoch 38 | val 0.0537
  Trial 13 | Epoch 39 | val 0.0536
  Trial 13 | Epoch 40 | val 0.0553
  Trial 13 | Epoch 41 | val 0.0537
  Trial 13 | Epoch 42 | val 0.0533
  Trial 13 | Epoch 43 | val 0.0539
  Trial 13 | Epoch 44 | val 0.0531
  Trial 13 | Epoch 45 | val 0.0536
  Trial 13 | Epoch 46 | val 0.0511
  Trial 13 | Epoch 47 | val 0.0535
  Trial 13 | Epoch 48 | val 0.0542
  Trial 13 | Epoch 49 | val 0.0550
[I 2026-09-06 11:21:02,433] Trial 13 finished with value: 0.051115065757463225 and parameters: {'gru_hidden': 128, 'mlp_hidden': 256, 'lr': 0.0031259763052225, 'batch_size': 128, 'lambda_future': 0.15021048044330695}. Best is trial 13 with value: 0.051115065757463225.
  Trial 15 | Epoch  0 | val 0.1022
  Trial 15 | Epoch  1 | val 0.0901
  Trial 15 | Epoch  2 | val 0.0787
  Trial 15 | Epoch  3 | val 0.0715
  Trial 15 | Epoch  4 | val 0.0693
  Trial 15 | Epoch  5 | val 0.0645
  Trial 15 | Epoch  6 | val 0.0676
  Trial 15 | Epoch  7 | val 0.0628
  Trial 15 | Epoch  8 | val 0.0607
  Trial 15 | Epoch  9 | val 0.0574
  Trial 15 | Epoch 10 | val 0.0599
  Trial 15 | Epoch 11 | val 0.0608
  Trial 15 | Epoch 12 | val 0.0540
  Trial 15 | Epoch 13 | val 0.0547
  Trial 15 | Epoch 14 | val 0.0551
  Trial 15 | Epoch 15 | val 0.0557
  Trial 15 | Epoch 16 | val 0.0593
  Trial 15 | Epoch 17 | val 0.0563
  Trial 15 | Epoch 18 | val 0.0574
  Trial 15 | Epoch 19 | val 0.0552
  Trial 15 | Epoch 20 | val 0.0549
  Trial 15 | Epoch 21 | val 0.0545
  Trial 15 | Epoch 22 | val 0.0534
  Trial 15 | Epoch 23 | val 0.0523
  Trial 15 | Epoch 24 | val 0.0511
  Trial 15 | Epoch 25 | val 0.0521
  Trial 15 | Epoch 26 | val 0.0531
  Trial 15 | Epoch 27 | val 0.0527
  Trial 15 | Epoch 28 | val 0.0526
  Trial 15 | Epoch 29 | val 0.0527
  Trial 15 | Epoch 30 | val 0.0513
  Trial 15 | Epoch 31 | val 0.0521
  Trial 15 | Epoch 32 | val 0.0532
  Trial 15 | Epoch 33 | val 0.0509
  Trial 15 | Epoch 34 | val 0.0533
  Trial 15 | Epoch 35 | val 0.0520
  Trial 15 | Epoch 36 | val 0.0524
  Trial 15 | Epoch 37 | val 0.0519
  Trial 15 | Epoch 38 | val 0.0534
  Trial 15 | Epoch 39 | val 0.0515
  Trial 15 | Epoch 40 | val 0.0524
  Trial 15 | Epoch 41 | val 0.0519
  Trial 15 | Epoch 42 | val 0.0544
  Trial 15 | Epoch 43 | val 0.0537
  Trial 15 | Epoch 44 | val 0.0521
  Trial 15 | Epoch 45 | val 0.0521
  Trial 15 | Epoch 46 | val 0.0515
  Trial 15 | Epoch 47 | val 0.0545
  Trial 15 | Epoch 48 | val 0.0535
  Trial 15 | Epoch 49 | val 0.0528
[I 2026-09-06 11:22:54,684] Trial 15 finished with value: 0.05092838948675946 and parameters: {'gru_hidden': 128, 'mlp_hidden': 256, 'lr': 0.004106151363108397, 'batch_size': 128, 'lambda_future': 0.06019014525091339}. Best is trial 15 with value: 0.05092838948675946.
  Trial 18 | Epoch  0 | val 0.1138
  Trial 18 | Epoch  1 | val 0.1010
  Trial 18 | Epoch  2 | val 0.0810
  Trial 18 | Epoch  3 | val 0.0761
  Trial 18 | Epoch  4 | val 0.0729
  Trial 18 | Epoch  5 | val 0.0708
  Trial 18 | Epoch  6 | val 0.0706
  Trial 18 | Epoch  7 | val 0.0643
  Trial 18 | Epoch  8 | val 0.0645
  Trial 18 | Epoch  9 | val 0.0615
  Trial 18 | Epoch 10 | val 0.0608
  Trial 18 | Epoch 11 | val 0.0582
  Trial 18 | Epoch 12 | val 0.0596
  Trial 18 | Epoch 13 | val 0.0596
  Trial 18 | Epoch 14 | val 0.0557
  Trial 18 | Epoch 15 | val 0.0591
  Trial 18 | Epoch 16 | val 0.0572
  Trial 18 | Epoch 17 | val 0.0613
  Trial 18 | Epoch 18 | val 0.0573
  Trial 18 | Epoch 19 | val 0.0601
  Trial 18 | Epoch 20 | val 0.0576
  Trial 18 | Epoch 21 | val 0.0559
  Trial 18 | Epoch 22 | val 0.0574
  Trial 18 | Epoch 23 | val 0.0607
  Trial 18 | Epoch 24 | val 0.0544
  Trial 18 | Epoch 25 | val 0.0567
  Trial 18 | Epoch 26 | val 0.0600
  Trial 18 | Epoch 27 | val 0.0550
  Trial 18 | Epoch 28 | val 0.0549
  Trial 18 | Epoch 29 | val 0.0574
  Trial 18 | Epoch 30 | val 0.0604
  Trial 18 | Epoch 31 | val 0.0564
  Trial 18 | Epoch 32 | val 0.0540
  Trial 18 | Epoch 33 | val 0.0549
  Trial 18 | Epoch 34 | val 0.0549
  Trial 18 | Epoch 35 | val 0.0548
  Trial 18 | Epoch 36 | val 0.0593
  Trial 18 | Epoch 37 | val 0.0545
  Trial 18 | Epoch 38 | val 0.0555
  Trial 18 | Epoch 39 | val 0.0555
  Trial 18 | Epoch 40 | val 0.0570
  Trial 18 | Epoch 41 | val 0.0572
  Trial 18 | Epoch 42 | val 0.0529
  Trial 18 | Epoch 43 | val 0.0575
  Trial 18 | Epoch 44 | val 0.0540
  Trial 18 | Epoch 45 | val 0.0564
  Trial 18 | Epoch 46 | val 0.0570
  Trial 18 | Epoch 47 | val 0.0560
  Trial 18 | Epoch 48 | val 0.0562
  Trial 18 | Epoch 49 | val 0.0562
[I 2026-09-06 11:24:45,185] Trial 18 finished with value: 0.052852283329216404 and parameters: {'gru_hidden': 128, 'mlp_hidden': 256, 'lr': 0.0043633506428139525, 'batch_size': 128, 'lambda_future': 0.17211416882750544}. Best is trial 16 with value: 0.05091632963783706.
  Trial 23 | Epoch  0 | val 0.1094
  Trial 23 | Epoch  1 | val 0.0885
  Trial 23 | Epoch  2 | val 0.0767
  Trial 23 | Epoch  3 | val 0.0761
  Trial 23 | Epoch  4 | val 0.0765
  Trial 23 | Epoch  5 | val 0.0679
  Trial 23 | Epoch  6 | val 0.0697
  Trial 23 | Epoch  7 | val 0.0674
  Trial 23 | Epoch  8 | val 0.0626
  Trial 23 | Epoch  9 | val 0.0623
  Trial 23 | Epoch 10 | val 0.0600
  Trial 23 | Epoch 11 | val 0.0597
  Trial 23 | Epoch 12 | val 0.0578
  Trial 23 | Epoch 13 | val 0.0597
  Trial 23 | Epoch 14 | val 0.0607
  Trial 23 | Epoch 15 | val 0.0645
  Trial 23 | Epoch 16 | val 0.0570
  Trial 23 | Epoch 17 | val 0.0587
  Trial 23 | Epoch 18 | val 0.0589
  Trial 23 | Epoch 19 | val 0.0584
  Trial 23 | Epoch 20 | val 0.0631
[I 2026-09-06 11:26:19,249] Trial 23 pruned. 
  Trial 26 | Epoch  0 | val 0.1061
  Trial 26 | Epoch  1 | val 0.0866
  Trial 26 | Epoch  2 | val 0.0775
  Trial 26 | Epoch  3 | val 0.0751
  Trial 26 | Epoch  4 | val 0.0696
  Trial 26 | Epoch  5 | val 0.0661
  Trial 26 | Epoch  6 | val 0.0647
  Trial 26 | Epoch  7 | val 0.0606
  Trial 26 | Epoch  8 | val 0.0574
  Trial 26 | Epoch  9 | val 0.0580
  Trial 26 | Epoch 10 | val 0.0603
  Trial 26 | Epoch 11 | val 0.0620
  Trial 26 | Epoch 12 | val 0.0572
  Trial 26 | Epoch 13 | val 0.0601
  Trial 26 | Epoch 14 | val 0.0555
  Trial 26 | Epoch 15 | val 0.0540
  Trial 26 | Epoch 16 | val 0.0548
  Trial 26 | Epoch 17 | val 0.0559
  Trial 26 | Epoch 18 | val 0.0528
  Trial 26 | Epoch 19 | val 0.0526
  Trial 26 | Epoch 20 | val 0.0533
  Trial 26 | Epoch 21 | val 0.0547
  Trial 26 | Epoch 22 | val 0.0533
  Trial 26 | Epoch 23 | val 0.0512
  Trial 26 | Epoch 24 | val 0.0546
  Trial 26 | Epoch 25 | val 0.0531
  Trial 26 | Epoch 26 | val 0.0517
  Trial 26 | Epoch 27 | val 0.0522
  Trial 26 | Epoch 28 | val 0.0530
  Trial 26 | Epoch 29 | val 0.0536
  Trial 26 | Epoch 30 | val 0.0526
  Trial 26 | Epoch 31 | val 0.0515
  Trial 26 | Epoch 32 | val 0.0529
  Trial 26 | Epoch 33 | val 0.0534
  Trial 26 | Epoch 34 | val 0.0516
  Trial 26 | Epoch 35 | val 0.0521
  Trial 26 | Epoch 36 | val 0.0512
  Trial 26 | Epoch 37 | val 0.0505
  Trial 26 | Epoch 38 | val 0.0511
  Trial 26 | Epoch 39 | val 0.0536
  Trial 26 | Epoch 40 | val 0.0519
  Trial 26 | Epoch 41 | val 0.0508
  Trial 26 | Epoch 42 | val 0.0526
  Trial 26 | Epoch 43 | val 0.0541
  Trial 26 | Epoch 44 | val 0.0515
  Trial 26 | Epoch 45 | val 0.0510
  Trial 26 | Epoch 46 | val 0.0530
  Trial 26 | Epoch 47 | val 0.0516
  Trial 26 | Epoch 48 | val 0.0545
  Trial 26 | Epoch 49 | val 0.0517
[I 2026-09-06 11:28:13,919] Trial 26 finished with value: 0.050518643667004 and parameters: {'gru_hidden': 128, 'mlp_hidden': 256, 'lr': 0.003224358988230086, 'batch_size': 128, 'lambda_future': 0.05476012985915726}. Best is trial 25 with value: 0.04922042478487563.
  Trial 32 | Epoch  0 | val 0.1116
  Trial 32 | Epoch  1 | val 0.1000
  Trial 32 | Epoch  2 | val 0.1027
  Trial 32 | Epoch  3 | val 0.0779
  Trial 32 | Epoch  4 | val 0.0809
  Trial 32 | Epoch  5 | val 0.0708
  Trial 32 | Epoch  6 | val 0.0688
  Trial 32 | Epoch  7 | val 0.0687
  Trial 32 | Epoch  8 | val 0.0650
[I 2026-09-06 11:28:37,071] Trial 32 pruned. 
  Trial 34 | Epoch  0 | val 0.1089
  Trial 34 | Epoch  1 | val 0.0987
  Trial 34 | Epoch  2 | val 0.0806
  Trial 34 | Epoch  3 | val 0.0793
  Trial 34 | Epoch  4 | val 0.0670
  Trial 34 | Epoch  5 | val 0.0659
  Trial 34 | Epoch  6 | val 0.0658
  Trial 34 | Epoch  7 | val 0.0643
  Trial 34 | Epoch  8 | val 0.0625
  Trial 34 | Epoch  9 | val 0.0593
  Trial 34 | Epoch 10 | val 0.0608
  Trial 34 | Epoch 11 | val 0.0576
  Trial 34 | Epoch 12 | val 0.0574
  Trial 34 | Epoch 13 | val 0.0548
  Trial 34 | Epoch 14 | val 0.0541
  Trial 34 | Epoch 15 | val 0.0584
  Trial 34 | Epoch 16 | val 0.0540
  Trial 34 | Epoch 17 | val 0.0546
  Trial 34 | Epoch 18 | val 0.0546
  Trial 34 | Epoch 19 | val 0.0525
  Trial 34 | Epoch 20 | val 0.0537
  Trial 34 | Epoch 21 | val 0.0569
  Trial 34 | Epoch 22 | val 0.0532
  Trial 34 | Epoch 23 | val 0.0563
  Trial 34 | Epoch 24 | val 0.0522
  Trial 34 | Epoch 25 | val 0.0532
  Trial 34 | Epoch 26 | val 0.0526
  Trial 34 | Epoch 27 | val 0.0522
  Trial 34 | Epoch 28 | val 0.0537
  Trial 34 | Epoch 29 | val 0.0530
  Trial 34 | Epoch 30 | val 0.0529
  Trial 34 | Epoch 31 | val 0.0510
  Trial 34 | Epoch 32 | val 0.0528
  Trial 34 | Epoch 33 | val 0.0555
  Trial 34 | Epoch 34 | val 0.0528
  Trial 34 | Epoch 35 | val 0.0527
  Trial 34 | Epoch 36 | val 0.0549
  Trial 34 | Epoch 37 | val 0.0500
  Trial 34 | Epoch 38 | val 0.0506
