Studio: joint_combo_p1_k10 | device cpu | mode=combo P=1 K=10 T=10
Caricamento dataset...
Trovati 120 trial.
Dataset grezzo: 120 trial letti. Scaler e finestre costruiti in split_by_trial() (fit solo su train).
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``group`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``constant_liar`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
[I 2026-09-26 12:52:38,220] Using an existing study with name 'joint_combo_p1_k10' instead of creating a new one.
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/scaler/scalers_joint.pkl (nessun refit).
Dataset: 32520 campioni da 120 trial. H=20 P=10 | seq_cmd=(20, 1) seq_sens=(20, 2)
Split per-trial: 26015 finestre train | 6505 finestre val
Epoch   0 | train 0.3892 (IM@1 0.1486 FM@1 0.2406) | val 0.1507 (IM@1 0.0360 FM@1 0.1147) sup 0.3892/0.1507 roll 1.4835/0.9820 (λ=0.00) | lr 9.39e-04
Epoch   1 | train 0.2801 (IM@1 0.0553 FM@1 0.1437) | val 0.1740 (IM@1 0.0307 FM@1 0.0948) sup 0.1990/0.1254 roll 0.8113/0.4861 (λ=0.10) | lr 9.39e-04
Epoch   2 | train 0.2917 (IM@1 0.0502 FM@1 0.1282) | val 0.1947 (IM@1 0.0271 FM@1 0.0877) sup 0.1784/0.1147 roll 0.5668/0.3997 (λ=0.20) | lr 9.39e-04
Epoch   3 | train 0.3153 (IM@1 0.0479 FM@1 0.1214) | val 0.2209 (IM@1 0.0277 FM@1 0.0851) sup 0.1693/0.1128 roll 0.4864/0.3604 (λ=0.30) | lr 9.39e-04
Epoch   4 | train 0.3398 (IM@1 0.0470 FM@1 0.1154) | val 0.2544 (IM@1 0.0320 FM@1 0.0798) sup 0.1624/0.1118 roll 0.4436/0.3565 (λ=0.40) | lr 9.39e-04
Epoch   5 | train 0.3670 (IM@1 0.0471 FM@1 0.1123) | val 0.2761 (IM@1 0.0305 FM@1 0.0779) sup 0.1594/0.1084 roll 0.4152/0.3355 (λ=0.50) | lr 9.39e-04
Epoch   6 | train 0.3955 (IM@1 0.0467 FM@1 0.1103) | val 0.3088 (IM@1 0.0294 FM@1 0.0812) sup 0.1570/0.1105 roll 0.3976/0.3304 (λ=0.60) | lr 9.39e-04
Epoch   7 | train 0.4226 (IM@1 0.0472 FM@1 0.1071) | val 0.3272 (IM@1 0.0270 FM@1 0.0748) sup 0.1544/0.1018 roll 0.3832/0.3220 (λ=0.70) | lr 9.39e-04
Epoch   8 | train 0.4490 (IM@1 0.0460 FM@1 0.1050) | val 0.3625 (IM@1 0.0329 FM@1 0.0739) sup 0.1510/0.1069 roll 0.3725/0.3195 (λ=0.80) | lr 9.39e-04
Epoch   9 | train 0.4757 (IM@1 0.0464 FM@1 0.1015) | val 0.4008 (IM@1 0.0312 FM@1 0.0768) sup 0.1478/0.1080 roll 0.3643/0.3253 (λ=0.90) | lr 9.39e-04
Epoch  10 | train 0.5057 (IM@1 0.0461 FM@1 0.1005) | val 0.4100 (IM@1 0.0293 FM@1 0.0746) sup 0.1466/0.1039 roll 0.3591/0.3061 (λ=1.00) | lr 9.39e-04
Epoch  11 | train 0.4989 (IM@1 0.0457 FM@1 0.1011) | val 0.4122 (IM@1 0.0277 FM@1 0.0757) sup 0.1468/0.1033 roll 0.3521/0.3089 (λ=1.00) | lr 9.39e-04
Epoch  12 | train 0.4929 (IM@1 0.0456 FM@1 0.0991) | val 0.4672 (IM@1 0.0413 FM@1 0.0739) sup 0.1447/0.1152 roll 0.3482/0.3520 (λ=1.00) | lr 9.39e-04
Epoch  13 | train 0.4897 (IM@1 0.0447 FM@1 0.0999) | val 0.4314 (IM@1 0.0330 FM@1 0.0789) sup 0.1446/0.1119 roll 0.3451/0.3196 (λ=1.00) | lr 9.39e-04
Epoch  14 | train 0.4849 (IM@1 0.0453 FM@1 0.0972) | val 0.4235 (IM@1 0.0324 FM@1 0.0758) sup 0.1426/0.1082 roll 0.3423/0.3153 (λ=1.00) | lr 9.39e-04
Epoch  15 | train 0.4793 (IM@1 0.0452 FM@1 0.0969) | val 0.4063 (IM@1 0.0286 FM@1 0.0719) sup 0.1421/0.1005 roll 0.3372/0.3058 (λ=1.00) | lr 9.39e-04
Epoch  16 | train 0.4708 (IM@1 0.0443 FM@1 0.0945) | val 0.4192 (IM@1 0.0303 FM@1 0.0753) sup 0.1388/0.1056 roll 0.3320/0.3136 (λ=1.00) | lr 9.39e-04
Epoch  17 | train 0.4654 (IM@1 0.0435 FM@1 0.0944) | val 0.4149 (IM@1 0.0312 FM@1 0.0715) sup 0.1379/0.1027 roll 0.3275/0.3122 (λ=1.00) | lr 9.39e-04
Epoch  18 | train 0.4591 (IM@1 0.0436 FM@1 0.0924) | val 0.4266 (IM@1 0.0312 FM@1 0.0723) sup 0.1359/0.1035 roll 0.3232/0.3232 (λ=1.00) | lr 9.39e-04
Epoch  19 | train 0.4513 (IM@1 0.0432 FM@1 0.0913) | val 0.4329 (IM@1 0.0324 FM@1 0.0755) sup 0.1346/0.1079 roll 0.3168/0.3250 (λ=1.00) | lr 9.39e-04
Epoch  20 | train 0.4476 (IM@1 0.0429 FM@1 0.0910) | val 0.4590 (IM@1 0.0362 FM@1 0.0852) sup 0.1339/0.1213 roll 0.3137/0.3377 (λ=1.00) | lr 9.39e-04
Epoch  21 | train 0.4388 (IM@1 0.0428 FM@1 0.0905) | val 0.4500 (IM@1 0.0361 FM@1 0.0774) sup 0.1333/0.1134 roll 0.3055/0.3365 (λ=1.00) | lr 9.39e-04
Epoch  22 | train 0.4293 (IM@1 0.0423 FM@1 0.0879) | val 0.4454 (IM@1 0.0306 FM@1 0.0763) sup 0.1302/0.1068 roll 0.2991/0.3385 (λ=1.00) | lr 9.39e-04
Epoch  23 | train 0.4187 (IM@1 0.0415 FM@1 0.0868) | val 0.4417 (IM@1 0.0333 FM@1 0.0806) sup 0.1282/0.1139 roll 0.2905/0.3278 (λ=1.00) | lr 9.39e-04
Epoch  24 | train 0.4089 (IM@1 0.0421 FM@1 0.0860) | val 0.4682 (IM@1 0.0359 FM@1 0.0836) sup 0.1282/0.1195 roll 0.2808/0.3486 (λ=1.00) | lr 9.39e-04
Epoch  25 | train 0.3965 (IM@1 0.0415 FM@1 0.0850) | val 0.4843 (IM@1 0.0377 FM@1 0.0882) sup 0.1265/0.1260 roll 0.2700/0.3583 (λ=1.00) | lr 9.39e-04
Epoch  26 | train 0.3838 (IM@1 0.0405 FM@1 0.0844) | val 0.4978 (IM@1 0.0411 FM@1 0.0826) sup 0.1249/0.1237 roll 0.2589/0.3741 (λ=1.00) | lr 4.69e-04
Epoch  27 | train 0.3471 (IM@1 0.0385 FM@1 0.0775) | val 0.4866 (IM@1 0.0402 FM@1 0.0835) sup 0.1161/0.1237 roll 0.2310/0.3629 (λ=1.00) | lr 4.69e-04
Epoch  28 | train 0.3296 (IM@1 0.0377 FM@1 0.0752) | val 0.4937 (IM@1 0.0395 FM@1 0.0864) sup 0.1129/0.1259 roll 0.2167/0.3678 (λ=1.00) | lr 4.69e-04
Epoch  29 | train 0.3169 (IM@1 0.0376 FM@1 0.0726) | val 0.4981 (IM@1 0.0386 FM@1 0.0906) sup 0.1101/0.1292 roll 0.2067/0.3690 (λ=1.00) | lr 4.69e-04
Epoch  30 | train 0.3050 (IM@1 0.0363 FM@1 0.0712) | val 0.5118 (IM@1 0.0396 FM@1 0.0932) sup 0.1076/0.1328 roll 0.1975/0.3790 (λ=1.00) | lr 4.69e-04

Training completato (combo). Best val (sup + 1.0*roll, da epoch 10): 0.4063 a epoch 15
[I 2026-09-26 16:19:15,765] Trial 19 finished with value: 0.40634776782430565 and parameters: {'gru_hidden_fm': 512, 'mlp_hidden_fm': 256, 'dropout_fm': 0.46335445422720684, 'weight_decay_fm': 0.0015397240156514082, 'gru_hidden_im': 128, 'mlp_hidden_im': 32, 'dropout_im': 0.11634426379845687, 'weight_decay_im': 0.0758965262772828, 'lr': 0.0009386958684942019, 'batch_size': 64, 'clip_norm': 0.5}. Best is trial 0 with value: 0.36280497199899414.
Split per-trial: 26015 finestre train | 6505 finestre val
Epoch   0 | train 1.0109 (IM@1 0.4695 FM@1 0.5414) | val 0.4092 (IM@1 0.1158 FM@1 0.2934) sup 1.0109/0.4092 roll 1.6747/1.2212 (λ=0.00) | lr 8.44e-05
Epoch   1 | train 0.4486 (IM@1 0.0662 FM@1 0.2807) | val 0.3504 (IM@1 0.0449 FM@1 0.2247) sup 0.3468/0.2696 roll 1.0178/0.8081 (λ=0.10) | lr 8.44e-05
Epoch   2 | train 0.3980 (IM@1 0.0324 FM@1 0.2254) | val 0.3399 (IM@1 0.0348 FM@1 0.1871) sup 0.2579/0.2219 roll 0.7005/0.5900 (λ=0.20) | lr 8.44e-05
Epoch   3 | train 0.3880 (IM@1 0.0258 FM@1 0.1949) | val 0.3370 (IM@1 0.0299 FM@1 0.1614) sup 0.2207/0.1913 roll 0.5576/0.4858 (λ=0.30) | lr 8.44e-05
Epoch   4 | train 0.3960 (IM@1 0.0229 FM@1 0.1782) | val 0.3761 (IM@1 0.0280 FM@1 0.1486) sup 0.2010/0.1766 roll 0.4874/0.4989 (λ=0.40) | lr 8.44e-05
