Studio: joint_combo_p1_k10 | device cpu | mode=combo P=1 K=10 T=10
Caricamento dataset...
Trovati 120 trial.
Dataset grezzo: 120 trial letti. Scaler e finestre costruiti in split_by_trial() (fit solo su train).
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``group`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``constant_liar`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
[I 2026-09-26 12:51:45,784] Using an existing study with name 'joint_combo_p1_k10' instead of creating a new one.
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/scaler/scalers_joint.pkl (nessun refit).
Dataset: 32520 campioni da 120 trial. H=20 P=10 | seq_cmd=(20, 1) seq_sens=(20, 2)
Split per-trial: 26015 finestre train | 6505 finestre val
Epoch   0 | train 1.3390 (IM@1 0.6220 FM@1 0.7170) | val 0.7215 (IM@1 0.2751 FM@1 0.4464) sup 1.3390/0.7215 roll 1.8416/1.5426 (λ=0.00) | lr 8.88e-05
Epoch   1 | train 0.7953 (IM@1 0.1898 FM@1 0.4613) | val 0.5157 (IM@1 0.0878 FM@1 0.3184) sup 0.6511/0.4062 roll 1.4423/1.0955 (λ=0.10) | lr 8.88e-05
Epoch   2 | train 0.7027 (IM@1 0.0852 FM@1 0.3888) | val 0.4889 (IM@1 0.0541 FM@1 0.2725) sup 0.4740/0.3266 roll 1.1436/0.8116 (λ=0.20) | lr 8.88e-05
Epoch   3 | train 0.7063 (IM@1 0.0622 FM@1 0.3610) | val 0.4966 (IM@1 0.0452 FM@1 0.2475) sup 0.4231/0.2928 roll 0.9438/0.6795 (λ=0.30) | lr 8.88e-05
Epoch   4 | train 0.7179 (IM@1 0.0531 FM@1 0.3364) | val 0.5059 (IM@1 0.0402 FM@1 0.2267) sup 0.3895/0.2670 roll 0.8209/0.5974 (λ=0.40) | lr 8.88e-05
Epoch   5 | train 0.7531 (IM@1 0.0484 FM@1 0.3270) | val 0.5206 (IM@1 0.0347 FM@1 0.2139) sup 0.3754/0.2486 roll 0.7554/0.5439 (λ=0.50) | lr 8.88e-05
Epoch   6 | train 0.7728 (IM@1 0.0450 FM@1 0.3079) | val 0.5413 (IM@1 0.0343 FM@1 0.1963) sup 0.3529/0.2306 roll 0.6999/0.5177 (λ=0.60) | lr 8.88e-05
Epoch   7 | train 0.8068 (IM@1 0.0435 FM@1 0.2973) | val 0.5657 (IM@1 0.0315 FM@1 0.1901) sup 0.3408/0.2216 roll 0.6657/0.4916 (λ=0.70) | lr 8.88e-05
Epoch   8 | train 0.8427 (IM@1 0.0420 FM@1 0.2874) | val 0.5855 (IM@1 0.0300 FM@1 0.1815) sup 0.3294/0.2114 roll 0.6415/0.4676 (λ=0.80) | lr 8.88e-05
Epoch   9 | train 0.8762 (IM@1 0.0406 FM@1 0.2807) | val 0.6161 (IM@1 0.0294 FM@1 0.1711) sup 0.3213/0.2005 roll 0.6166/0.4618 (λ=0.90) | lr 8.88e-05
Epoch  10 | train 0.9104 (IM@1 0.0402 FM@1 0.2712) | val 0.6605 (IM@1 0.0293 FM@1 0.1679) sup 0.3114/0.1972 roll 0.5990/0.4633 (λ=1.00) | lr 8.88e-05
Epoch  11 | train 0.8876 (IM@1 0.0392 FM@1 0.2644) | val 0.6236 (IM@1 0.0286 FM@1 0.1592) sup 0.3036/0.1879 roll 0.5840/0.4357 (λ=1.00) | lr 8.88e-05
