Studio: joint_combo_p1_k10 | device cpu | mode=combo P=1 K=10 T=10
Caricamento dataset...
Trovati 120 trial.
Dataset grezzo: 120 trial letti. Scaler e finestre costruiti in split_by_trial() (fit solo su train).
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``group`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``constant_liar`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
[I 2026-09-26 12:52:12,536] Using an existing study with name 'joint_combo_p1_k10' instead of creating a new one.
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/scaler/scalers_joint.pkl (nessun refit).
Dataset: 32520 campioni da 120 trial. H=20 P=10 | seq_cmd=(20, 1) seq_sens=(20, 2)
Split per-trial: 26015 finestre train | 6505 finestre val
Epoch   0 | train 0.7386 (IM@1 0.2102 FM@1 0.5284) | val 0.2931 (IM@1 0.0327 FM@1 0.2604) sup 0.7386/0.2931 roll 1.3770/0.8001 (λ=0.00) | lr 1.80e-04
Epoch   1 | train 0.4071 (IM@1 0.0237 FM@1 0.3100) | val 0.2861 (IM@1 0.0243 FM@1 0.2116) sup 0.3337/0.2359 roll 0.7343/0.5015 (λ=0.10) | lr 1.80e-04
Epoch   2 | train 0.4044 (IM@1 0.0193 FM@1 0.2691) | val 0.2856 (IM@1 0.0221 FM@1 0.1758) sup 0.2884/0.1979 roll 0.5796/0.4387 (λ=0.20) | lr 1.80e-04
Epoch   3 | train 0.4153 (IM@1 0.0178 FM@1 0.2421) | val 0.3042 (IM@1 0.0212 FM@1 0.1581) sup 0.2599/0.1793 roll 0.5180/0.4161 (λ=0.30) | lr 1.80e-04
Epoch   4 | train 0.4392 (IM@1 0.0170 FM@1 0.2289) | val 0.3300 (IM@1 0.0210 FM@1 0.1460) sup 0.2459/0.1669 roll 0.4833/0.4078 (λ=0.40) | lr 1.80e-04
Epoch   5 | train 0.4583 (IM@1 0.0163 FM@1 0.2136) | val 0.3547 (IM@1 0.0205 FM@1 0.1392) sup 0.2299/0.1597 roll 0.4568/0.3901 (λ=0.50) | lr 1.80e-04
Epoch   6 | train 0.4933 (IM@1 0.0161 FM@1 0.2115) | val 0.3666 (IM@1 0.0203 FM@1 0.1261) sup 0.2276/0.1464 roll 0.4429/0.3670 (λ=0.60) | lr 1.80e-04
Epoch   7 | train 0.5177 (IM@1 0.0158 FM@1 0.2018) | val 0.3991 (IM@1 0.0202 FM@1 0.1229) sup 0.2177/0.1430 roll 0.4286/0.3658 (λ=0.70) | lr 1.80e-04
Epoch   8 | train 0.5462 (IM@1 0.0158 FM@1 0.1960) | val 0.4149 (IM@1 0.0196 FM@1 0.1152) sup 0.2117/0.1348 roll 0.4181/0.3501 (λ=0.80) | lr 1.80e-04
Epoch   9 | train 0.5769 (IM@1 0.0156 FM@1 0.1919) | val 0.4415 (IM@1 0.0198 FM@1 0.1102) sup 0.2075/0.1299 roll 0.4104/0.3462 (λ=0.90) | lr 1.80e-04
Epoch  10 | train 0.6027 (IM@1 0.0156 FM@1 0.1854) | val 0.4770 (IM@1 0.0197 FM@1 0.1112) sup 0.2010/0.1309 roll 0.4017/0.3461 (λ=1.00) | lr 1.80e-04
Epoch  11 | train 0.5933 (IM@1 0.0154 FM@1 0.1816) | val 0.4777 (IM@1 0.0196 FM@1 0.1083) sup 0.1970/0.1278 roll 0.3963/0.3498 (λ=1.00) | lr 1.80e-04
Epoch  12 | train 0.5852 (IM@1 0.0154 FM@1 0.1776) | val 0.4730 (IM@1 0.0199 FM@1 0.1005) sup 0.1930/0.1204 roll 0.3922/0.3526 (λ=1.00) | lr 1.80e-04
Epoch  13 | train 0.5812 (IM@1 0.0154 FM@1 0.1773) | val 0.4665 (IM@1 0.0205 FM@1 0.0978) sup 0.1927/0.1182 roll 0.3885/0.3483 (λ=1.00) | lr 1.80e-04
Epoch  14 | train 0.5677 (IM@1 0.0153 FM@1 0.1714) | val 0.4467 (IM@1 0.0199 FM@1 0.0962) sup 0.1867/0.1161 roll 0.3810/0.3306 (λ=1.00) | lr 1.80e-04
