Studio: joint_combo_p1_k10 | device cpu | mode=combo P=1 K=10 T=10
Caricamento dataset...
Trovati 120 trial.
Dataset grezzo: 120 trial letti. Scaler e finestre costruiti in split_by_trial() (fit solo su train).
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``group`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``constant_liar`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
[I 2026-09-26 12:51:48,348] Using an existing study with name 'joint_combo_p1_k10' instead of creating a new one.
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/scaler/scalers_joint.pkl (nessun refit).
Dataset: 32520 campioni da 120 trial. H=20 P=10 | seq_cmd=(20, 1) seq_sens=(20, 2)
Split per-trial: 26015 finestre train | 6505 finestre val
Epoch   0 | train 0.5761 (IM@1 0.2292 FM@1 0.3469) | val 0.1952 (IM@1 0.0488 FM@1 0.1463) sup 0.5761/0.1952 roll 1.7222/1.2977 (λ=0.00) | lr 2.67e-03
Epoch   1 | train 0.3328 (IM@1 0.0946 FM@1 0.1381) | val 0.1999 (IM@1 0.0393 FM@1 0.1067) sup 0.2327/0.1460 roll 1.0007/0.5386 (λ=0.10) | lr 2.67e-03
Epoch   2 | train 0.3294 (IM@1 0.0857 FM@1 0.1126) | val 0.2217 (IM@1 0.0351 FM@1 0.0933) sup 0.1984/0.1284 roll 0.6550/0.4668 (λ=0.20) | lr 2.67e-03
Epoch   3 | train 0.3449 (IM@1 0.0839 FM@1 0.1002) | val 0.2432 (IM@1 0.0378 FM@1 0.0847) sup 0.1841/0.1225 roll 0.5362/0.4025 (λ=0.30) | lr 2.67e-03
Epoch   4 | train 0.3591 (IM@1 0.0796 FM@1 0.0915) | val 0.2644 (IM@1 0.0367 FM@1 0.0840) sup 0.1711/0.1207 roll 0.4701/0.3593 (λ=0.40) | lr 2.67e-03
Epoch   5 | train 0.3836 (IM@1 0.0776 FM@1 0.0872) | val 0.2905 (IM@1 0.0346 FM@1 0.0821) sup 0.1648/0.1167 roll 0.4375/0.3477 (λ=0.50) | lr 2.67e-03
Epoch   6 | train 0.4103 (IM@1 0.0775 FM@1 0.0859) | val 0.3204 (IM@1 0.0369 FM@1 0.0794) sup 0.1634/0.1164 roll 0.4116/0.3400 (λ=0.60) | lr 2.67e-03
Epoch   7 | train 0.4361 (IM@1 0.0771 FM@1 0.0826) | val 0.3383 (IM@1 0.0341 FM@1 0.0783) sup 0.1597/0.1124 roll 0.3949/0.3227 (λ=0.70) | lr 2.67e-03
Epoch   8 | train 0.4609 (IM@1 0.0763 FM@1 0.0803) | val 0.3812 (IM@1 0.0353 FM@1 0.0820) sup 0.1566/0.1173 roll 0.3804/0.3299 (λ=0.80) | lr 2.67e-03
Epoch   9 | train 0.4934 (IM@1 0.0752 FM@1 0.0794) | val 0.4085 (IM@1 0.0368 FM@1 0.0764) sup 0.1545/0.1131 roll 0.3765/0.3282 (λ=0.90) | lr 2.67e-03
Epoch  10 | train 0.5270 (IM@1 0.0768 FM@1 0.0804) | val 0.4273 (IM@1 0.0347 FM@1 0.0765) sup 0.1572/0.1112 roll 0.3698/0.3161 (λ=1.00) | lr 2.67e-03
