Studio: joint_combo_p1_k10 | device cpu | mode=combo P=1 K=10 T=10
Caricamento dataset...
Trovati 120 trial.
Dataset grezzo: 120 trial letti. Scaler e finestre costruiti in split_by_trial() (fit solo su train).
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``group`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``constant_liar`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
[I 2026-09-26 12:52:34,937] Using an existing study with name 'joint_combo_p1_k10' instead of creating a new one.
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/scaler/scalers_joint.pkl (nessun refit).
Dataset: 32520 campioni da 120 trial. H=20 P=10 | seq_cmd=(20, 1) seq_sens=(20, 2)
Split per-trial: 26015 finestre train | 6505 finestre val
Epoch   0 | train 0.3710 (IM@1 0.1013 FM@1 0.2697) | val 0.2008 (IM@1 0.0423 FM@1 0.1586) sup 0.3710/0.2008 roll 1.4883/0.9803 (λ=0.00) | lr 7.51e-03
Epoch   1 | train 0.3128 (IM@1 0.0537 FM@1 0.1895) | val 0.2058 (IM@1 0.0313 FM@1 0.1250) sup 0.2432/0.1563 roll 0.6957/0.4945 (λ=0.10) | lr 7.51e-03
Epoch   2 | train 0.3293 (IM@1 0.0515 FM@1 0.1670) | val 0.2120 (IM@1 0.0322 FM@1 0.1019) sup 0.2186/0.1341 roll 0.5535/0.3895 (λ=0.20) | lr 7.51e-03
Epoch   3 | train 0.3570 (IM@1 0.0507 FM@1 0.1574) | val 0.2267 (IM@1 0.0238 FM@1 0.0961) sup 0.2081/0.1199 roll 0.4962/0.3562 (λ=0.30) | lr 7.51e-03
Epoch   4 | train 0.3912 (IM@1 0.0520 FM@1 0.1511) | val 0.2653 (IM@1 0.0272 FM@1 0.0955) sup 0.2031/0.1227 roll 0.4702/0.3565 (λ=0.40) | lr 7.51e-03
Epoch   5 | train 0.4206 (IM@1 0.0503 FM@1 0.1487) | val 0.2866 (IM@1 0.0305 FM@1 0.0856) sup 0.1990/0.1161 roll 0.4431/0.3410 (λ=0.50) | lr 7.51e-03
Epoch   6 | train 0.4588 (IM@1 0.0509 FM@1 0.1464) | val 0.3502 (IM@1 0.0298 FM@1 0.0873) sup 0.1973/0.1171 roll 0.4358/0.3885 (λ=0.60) | lr 7.51e-03
Epoch   7 | train 0.4865 (IM@1 0.0499 FM@1 0.1436) | val 0.3395 (IM@1 0.0294 FM@1 0.0832) sup 0.1935/0.1126 roll 0.4185/0.3241 (λ=0.70) | lr 7.51e-03
Epoch   8 | train 0.5237 (IM@1 0.0513 FM@1 0.1432) | val 0.3768 (IM@1 0.0259 FM@1 0.0871) sup 0.1945/0.1130 roll 0.4115/0.3297 (λ=0.80) | lr 7.51e-03
Epoch   9 | train 0.5538 (IM@1 0.0509 FM@1 0.1408) | val 0.4513 (IM@1 0.0285 FM@1 0.1071) sup 0.1917/0.1355 roll 0.4023/0.3509 (λ=0.90) | lr 7.51e-03
Epoch  10 | train 0.5847 (IM@1 0.0505 FM@1 0.1393) | val 0.4395 (IM@1 0.0279 FM@1 0.0846) sup 0.1899/0.1125 roll 0.3948/0.3270 (λ=1.00) | lr 7.51e-03
Epoch  11 | train 0.5739 (IM@1 0.0500 FM@1 0.1371) | val 0.4243 (IM@1 0.0272 FM@1 0.0817) sup 0.1871/0.1089 roll 0.3868/0.3154 (λ=1.00) | lr 7.51e-03
Epoch  12 | train 0.5696 (IM@1 0.0490 FM@1 0.1375) | val 0.4149 (IM@1 0.0248 FM@1 0.0755) sup 0.1866/0.1003 roll 0.3830/0.3146 (λ=1.00) | lr 7.51e-03
