Studio: joint_combo_p1_k10 | device cpu | mode=combo P=1 K=10 T=10
Caricamento dataset...
Trovati 120 trial.
Dataset grezzo: 120 trial letti. Scaler e finestre costruiti in split_by_trial() (fit solo su train).
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``group`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``constant_liar`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
[I 2026-09-26 12:52:06,365] Using an existing study with name 'joint_combo_p1_k10' instead of creating a new one.
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/scaler/scalers_joint.pkl (nessun refit).
Dataset: 32520 campioni da 120 trial. H=20 P=10 | seq_cmd=(20, 1) seq_sens=(20, 2)
Split per-trial: 26015 finestre train | 6505 finestre val
Epoch   0 | train 0.3067 (IM@1 0.1141 FM@1 0.1926) | val 0.1196 (IM@1 0.0235 FM@1 0.0961) sup 0.3067/0.1196 roll 0.9793/0.4633 (λ=0.00) | lr 4.99e-04
Epoch   1 | train 0.1664 (IM@1 0.0277 FM@1 0.0930) | val 0.1389 (IM@1 0.0217 FM@1 0.0819) sup 0.1207/0.1036 roll 0.4570/0.3522 (λ=0.10) | lr 4.99e-04
Epoch   2 | train 0.1821 (IM@1 0.0253 FM@1 0.0798) | val 0.1628 (IM@1 0.0216 FM@1 0.0736) sup 0.1051/0.0951 roll 0.3847/0.3384 (λ=0.20) | lr 4.99e-04
Epoch   3 | train 0.2065 (IM@1 0.0249 FM@1 0.0735) | val 0.1887 (IM@1 0.0206 FM@1 0.0703) sup 0.0984/0.0910 roll 0.3602/0.3256 (λ=0.30) | lr 4.99e-04
Epoch   4 | train 0.2329 (IM@1 0.0243 FM@1 0.0708) | val 0.2243 (IM@1 0.0223 FM@1 0.0717) sup 0.0951/0.0940 roll 0.3447/0.3259 (λ=0.40) | lr 4.99e-04
Epoch   5 | train 0.2611 (IM@1 0.0246 FM@1 0.0686) | val 0.2528 (IM@1 0.0210 FM@1 0.0680) sup 0.0932/0.0890 roll 0.3358/0.3275 (λ=0.50) | lr 4.99e-04
Epoch   6 | train 0.2875 (IM@1 0.0246 FM@1 0.0666) | val 0.2780 (IM@1 0.0218 FM@1 0.0674) sup 0.0912/0.0892 roll 0.3272/0.3147 (λ=0.60) | lr 4.99e-04
Epoch   7 | train 0.3125 (IM@1 0.0247 FM@1 0.0648) | val 0.3075 (IM@1 0.0218 FM@1 0.0676) sup 0.0895/0.0894 roll 0.3185/0.3115 (λ=0.70) | lr 4.99e-04
Epoch   8 | train 0.3396 (IM@1 0.0248 FM@1 0.0634) | val 0.3422 (IM@1 0.0223 FM@1 0.0654) sup 0.0882/0.0877 roll 0.3142/0.3181 (λ=0.80) | lr 4.99e-04
Epoch   9 | train 0.3631 (IM@1 0.0247 FM@1 0.0616) | val 0.3618 (IM@1 0.0224 FM@1 0.0639) sup 0.0862/0.0863 roll 0.3077/0.3061 (λ=0.90) | lr 4.99e-04
Epoch  10 | train 0.3913 (IM@1 0.0250 FM@1 0.0617) | val 0.3927 (IM@1 0.0222 FM@1 0.0638) sup 0.0866/0.0860 roll 0.3046/0.3067 (λ=1.00) | lr 4.99e-04
