Studio: joint_combo_p1_k10 | device cpu | mode=combo P=1 K=10 T=10
Caricamento dataset...
Trovati 120 trial.
Dataset grezzo: 120 trial letti. Scaler e finestre costruiti in split_by_trial() (fit solo su train).
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``group`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
/home/gemma/tesi/aquabot/src/net/Estimator/tuning/tune_joint.py:245: ExperimentalWarning: Argument ``constant_liar`` is an experimental feature. The interface can change in the future.
  sampler = optuna.samplers.TPESampler(
[I 2026-09-26 12:52:16,376] Using an existing study with name 'joint_combo_p1_k10' instead of creating a new one.
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/scaler/scalers_joint.pkl (nessun refit).
Dataset: 32520 campioni da 120 trial. H=20 P=10 | seq_cmd=(20, 1) seq_sens=(20, 2)
Split per-trial: 26015 finestre train | 6505 finestre val
Epoch   0 | train 1.7454 (IM@1 0.7603 FM@1 0.9851) | val 1.1523 (IM@1 0.2980 FM@1 0.8543) sup 1.7454/1.1523 roll 1.9547/1.7332 (λ=0.00) | lr 6.86e-05
Epoch   1 | train 1.1581 (IM@1 0.2067 FM@1 0.7836) | val 0.7915 (IM@1 0.0812 FM@1 0.5814) sup 0.9903/0.6626 roll 1.6775/1.2883 (λ=0.10) | lr 6.86e-05
Epoch   2 | train 0.9695 (IM@1 0.0835 FM@1 0.6299) | val 0.7402 (IM@1 0.0513 FM@1 0.4945) sup 0.7134/0.5458 roll 1.2804/0.9720 (λ=0.20) | lr 6.86e-05
Epoch   3 | train 0.9497 (IM@1 0.0596 FM@1 0.5751) | val 0.7352 (IM@1 0.0438 FM@1 0.4386) sup 0.6347/0.4824 roll 1.0502/0.8427 (λ=0.30) | lr 6.86e-05
Epoch   4 | train 0.9588 (IM@1 0.0516 FM@1 0.5316) | val 0.7289 (IM@1 0.0389 FM@1 0.3988) sup 0.5831/0.4377 roll 0.9391/0.7280 (λ=0.40) | lr 6.86e-05
Epoch   5 | train 0.9921 (IM@1 0.0464 FM@1 0.5077) | val 0.7418 (IM@1 0.0345 FM@1 0.3716) sup 0.5541/0.4061 roll 0.8760/0.6714 (λ=0.50) | lr 6.86e-05
Epoch   6 | train 1.0239 (IM@1 0.0438 FM@1 0.4847) | val 0.7640 (IM@1 0.0314 FM@1 0.3526) sup 0.5284/0.3840 roll 0.8257/0.6333 (λ=0.60) | lr 6.86e-05
Epoch   7 | train 1.0476 (IM@1 0.0396 FM@1 0.4613) | val 0.7819 (IM@1 0.0288 FM@1 0.3340) sup 0.5009/0.3628 roll 0.7811/0.5988 (λ=0.70) | lr 6.86e-05
Epoch   8 | train 1.0898 (IM@1 0.0384 FM@1 0.4487) | val 0.8046 (IM@1 0.0271 FM@1 0.3204) sup 0.4871/0.3475 roll 0.7533/0.5714 (λ=0.80) | lr 6.86e-05
Epoch   9 | train 1.1170 (IM@1 0.0366 FM@1 0.4327) | val 0.8461 (IM@1 0.0283 FM@1 0.3018) sup 0.4693/0.3300 roll 0.7196/0.5734 (λ=0.90) | lr 6.86e-05
Epoch  10 | train 1.1540 (IM@1 0.0356 FM@1 0.4156) | val 0.8475 (IM@1 0.0254 FM@1 0.2891) sup 0.4512/0.3145 roll 0.7027/0.5330 (λ=1.00) | lr 6.86e-05
Epoch  11 | train 1.1078 (IM@1 0.0351 FM@1 0.4000) | val 0.8128 (IM@1 0.0253 FM@1 0.2760) sup 0.4351/0.3012 roll 0.6727/0.5116 (λ=1.00) | lr 6.86e-05
Epoch  12 | train 1.0775 (IM@1 0.0337 FM@1 0.3866) | val 0.7776 (IM@1 0.0241 FM@1 0.2612) sup 0.4202/0.2853 roll 0.6573/0.4923 (λ=1.00) | lr 6.86e-05
Epoch  13 | train 1.0480 (IM@1 0.0334 FM@1 0.3759) | val 0.7563 (IM@1 0.0238 FM@1 0.2509) sup 0.4093/0.2748 roll 0.6387/0.4816 (λ=1.00) | lr 6.86e-05
Epoch  14 | train 1.0211 (IM@1 0.0328 FM@1 0.3624) | val 0.7389 (IM@1 0.0235 FM@1 0.2441) sup 0.3952/0.2676 roll 0.6259/0.4713 (λ=1.00) | lr 6.86e-05
Epoch  15 | train 1.0042 (IM@1 0.0318 FM@1 0.3578) | val 0.7139 (IM@1 0.0233 FM@1 0.2337) sup 0.3896/0.2570 roll 0.6146/0.4569 (λ=1.00) | lr 6.86e-05
Epoch  16 | train 0.9861 (IM@1 0.0319 FM@1 0.3524) | val 0.7125 (IM@1 0.0229 FM@1 0.2298) sup 0.3843/0.2527 roll 0.6018/0.4599 (λ=1.00) | lr 6.86e-05
Epoch  17 | train 0.9683 (IM@1 0.0317 FM@1 0.3411) | val 0.6968 (IM@1 0.0230 FM@1 0.2217) sup 0.3728/0.2448 roll 0.5955/0.4520 (λ=1.00) | lr 6.86e-05
Epoch  18 | train 0.9522 (IM@1 0.0312 FM@1 0.3354) | val 0.6776 (IM@1 0.0233 FM@1 0.2142) sup 0.3667/0.2375 roll 0.5855/0.4401 (λ=1.00) | lr 6.86e-05
Epoch  19 | train 0.9427 (IM@1 0.0312 FM@1 0.3325) | val 0.6734 (IM@1 0.0231 FM@1 0.2113) sup 0.3637/0.2345 roll 0.5789/0.4390 (λ=1.00) | lr 6.86e-05
Epoch  20 | train 0.9296 (IM@1 0.0312 FM@1 0.3260) | val 0.6605 (IM@1 0.0223 FM@1 0.2096) sup 0.3572/0.2319 roll 0.5724/0.4285 (λ=1.00) | lr 6.86e-05
