Device: cuda | threads: 4
=== FASE 3 | 13 trial (questo worker) | 50 epoche ===

Caricamento dataset...
Trovati 34 trial.
  [trial_20260519_151133.csv] attenzione: calibrazione a riposo su 37 campioni (< 50)
Dataset: 27290 campioni da 34 trial.
Best arch (fase 1/2):   gru_hidden=512, mlp_hidden=128
Best training (fase 2): lr=4.08e-03, batch_size=32, lambda_future=0.108 (val 0.2017)

[I 2026-07-20 14:35:34,847] Using an existing study with name 'fish_forward_phase3' instead of creating a new one.
  Trial 1 | Epoch  0 | val 0.2866
  Trial 1 | Epoch  1 | val 0.2669
  Trial 1 | Epoch  2 | val 0.2626
  Trial 1 | Epoch  3 | val 0.2649
  Trial 1 | Epoch  4 | val 0.2577
  Trial 1 | Epoch  5 | val 0.2562
  Trial 1 | Epoch  6 | val 0.2602
  Trial 1 | Epoch  7 | val 0.2563
  Trial 1 | Epoch  8 | val 0.2574
  Trial 1 | Epoch  9 | val 0.2526
  Trial 1 | Epoch 10 | val 0.2521
  Trial 1 | Epoch 11 | val 0.2548
  Trial 1 | Epoch 12 | val 0.2545
  Trial 1 | Epoch 13 | val 0.2514
  Trial 1 | Epoch 14 | val 0.2519
  Trial 1 | Epoch 15 | val 0.2555
  Trial 1 | Epoch 16 | val 0.2525
  Trial 1 | Epoch 17 | val 0.2505
  Trial 1 | Epoch 18 | val 0.2492
  Trial 1 | Epoch 19 | val 0.2507
  Trial 1 | Epoch 20 | val 0.2499
  Trial 1 | Epoch 21 | val 0.2478
  Trial 1 | Epoch 22 | val 0.2478
  Trial 1 | Epoch 23 | val 0.2481
  Trial 1 | Epoch 24 | val 0.2501
  Trial 1 | Epoch 25 | val 0.2482
  Trial 1 | Epoch 26 | val 0.2494
  Trial 1 | Epoch 27 | val 0.2495
  Trial 1 | Epoch 28 | val 0.2503
  Trial 1 | Epoch 29 | val 0.2492
  Trial 1 | Epoch 30 | val 0.2486
  Trial 1 | Epoch 31 | val 0.2471
  Trial 1 | Epoch 32 | val 0.2459
  Trial 1 | Epoch 33 | val 0.2471
  Trial 1 | Epoch 34 | val 0.2485
  Trial 1 | Epoch 35 | val 0.2466
  Trial 1 | Epoch 36 | val 0.2450
  Trial 1 | Epoch 37 | val 0.2475
  Trial 1 | Epoch 38 | val 0.2463
  Trial 1 | Epoch 39 | val 0.2451
  Trial 1 | Epoch 40 | val 0.2435
  Trial 1 | Epoch 41 | val 0.2469
  Trial 1 | Epoch 42 | val 0.2440
  Trial 1 | Epoch 43 | val 0.2479
  Trial 1 | Epoch 44 | val 0.2473
  Trial 1 | Epoch 45 | val 0.2457
  Trial 1 | Epoch 46 | val 0.2467
  Trial 1 | Epoch 47 | val 0.2435
  Trial 1 | Epoch 48 | val 0.2456
  Trial 1 | Epoch 49 | val 0.2467
[I 2026-07-20 14:36:42,293] Trial 1 finished with value: 0.2434539645910263 and parameters: {'gru_hidden': 256, 'mlp_hidden': 64, 'lr': 0.009416569865822552, 'batch_size': 128, 'lambda_future': 0.35900558598393795}. Best is trial 0 with value: 0.2178115924430448.
  Trial 5 | Epoch  0 | val 0.3142
  Trial 5 | Epoch  1 | val 0.2945
  Trial 5 | Epoch  2 | val 0.2860
  Trial 5 | Epoch  3 | val 0.2850
  Trial 5 | Epoch  4 | val 0.2832
  Trial 5 | Epoch  5 | val 0.2784
  Trial 5 | Epoch  6 | val 0.2826
  Trial 5 | Epoch  7 | val 0.2846
  Trial 5 | Epoch  8 | val 0.2768
  Trial 5 | Epoch  9 | val 0.2760
  Trial 5 | Epoch 10 | val 0.2790
  Trial 5 | Epoch 11 | val 0.2733
  Trial 5 | Epoch 12 | val 0.2754
  Trial 5 | Epoch 13 | val 0.2761
  Trial 5 | Epoch 14 | val 0.2738
  Trial 5 | Epoch 15 | val 0.2825
  Trial 5 | Epoch 16 | val 0.2722
  Trial 5 | Epoch 17 | val 0.2717
  Trial 5 | Epoch 18 | val 0.2720
  Trial 5 | Epoch 19 | val 0.2724
  Trial 5 | Epoch 20 | val 0.2732
  Trial 5 | Epoch 21 | val 0.2738
  Trial 5 | Epoch 22 | val 0.2707
  Trial 5 | Epoch 23 | val 0.2699
  Trial 5 | Epoch 24 | val 0.2725
  Trial 5 | Epoch 25 | val 0.2690
  Trial 5 | Epoch 26 | val 0.2708
  Trial 5 | Epoch 27 | val 0.2719
  Trial 5 | Epoch 28 | val 0.2686
  Trial 5 | Epoch 29 | val 0.2678
  Trial 5 | Epoch 30 | val 0.2673
  Trial 5 | Epoch 31 | val 0.2676
  Trial 5 | Epoch 32 | val 0.2704
  Trial 5 | Epoch 33 | val 0.2668
  Trial 5 | Epoch 34 | val 0.2672
  Trial 5 | Epoch 35 | val 0.2677
  Trial 5 | Epoch 36 | val 0.2662
  Trial 5 | Epoch 37 | val 0.2650
  Trial 5 | Epoch 38 | val 0.2670
  Trial 5 | Epoch 39 | val 0.2668
  Trial 5 | Epoch 40 | val 0.2660
  Trial 5 | Epoch 41 | val 0.2651
  Trial 5 | Epoch 42 | val 0.2657
  Trial 5 | Epoch 43 | val 0.2653
  Trial 5 | Epoch 44 | val 0.2646
  Trial 5 | Epoch 45 | val 0.2638
  Trial 5 | Epoch 46 | val 0.2667
  Trial 5 | Epoch 47 | val 0.2651
  Trial 5 | Epoch 48 | val 0.2655
[I 2026-07-20 14:38:55,187] Trial 5 pruned. 
  Trial 9 | Epoch  0 | val 0.2989
  Trial 9 | Epoch  1 | val 0.2836
  Trial 9 | Epoch  2 | val 0.2753
  Trial 9 | Epoch  3 | val 0.2694
  Trial 9 | Epoch  4 | val 0.2660
  Trial 9 | Epoch  5 | val 0.2675
  Trial 9 | Epoch  6 | val 0.2718
  Trial 9 | Epoch  7 | val 0.2663
  Trial 9 | Epoch  8 | val 0.2631
[I 2026-07-20 14:39:20,631] Trial 9 pruned. 
  Trial 12 | Epoch  0 | val 0.2779
  Trial 12 | Epoch  1 | val 0.3040
  Trial 12 | Epoch  2 | val 0.2567
  Trial 12 | Epoch  3 | val 0.2433
  Trial 12 | Epoch  4 | val 0.2460
  Trial 12 | Epoch  5 | val 0.2312
  Trial 12 | Epoch  6 | val 0.2264
  Trial 12 | Epoch  7 | val 0.2244
  Trial 12 | Epoch  8 | val 0.2220
  Trial 12 | Epoch  9 | val 0.2280
  Trial 12 | Epoch 10 | val 0.2276
  Trial 12 | Epoch 11 | val 0.2233
  Trial 12 | Epoch 12 | val 0.2237
  Trial 12 | Epoch 13 | val 0.2232
  Trial 12 | Epoch 14 | val 0.2189
  Trial 12 | Epoch 15 | val 0.2263
  Trial 12 | Epoch 16 | val 0.2189
  Trial 12 | Epoch 17 | val 0.2216
  Trial 12 | Epoch 18 | val 0.2210
  Trial 12 | Epoch 19 | val 0.2191
  Trial 12 | Epoch 20 | val 0.2296
  Trial 12 | Epoch 21 | val 0.2189
  Trial 12 | Epoch 22 | val 0.2246
  Trial 12 | Epoch 23 | val 0.2189
  Trial 12 | Epoch 24 | val 0.2198
  Trial 12 | Epoch 25 | val 0.2186
  Trial 12 | Epoch 26 | val 0.2167
  Trial 12 | Epoch 27 | val 0.2187
  Trial 12 | Epoch 28 | val 0.2239
  Trial 12 | Epoch 29 | val 0.2260
  Trial 12 | Epoch 30 | val 0.2201
  Trial 12 | Epoch 31 | val 0.2182
  Trial 12 | Epoch 32 | val 0.2235
  Trial 12 | Epoch 33 | val 0.2190
  Trial 12 | Epoch 34 | val 0.2167
  Trial 12 | Epoch 35 | val 0.2169
  Trial 12 | Epoch 36 | val 0.2262
  Trial 12 | Epoch 37 | val 0.2202
  Trial 12 | Epoch 38 | val 0.2180
  Trial 12 | Epoch 39 | val 0.2185
  Trial 12 | Epoch 40 | val 0.2174
  Trial 12 | Epoch 41 | val 0.2168
  Trial 12 | Epoch 42 | val 0.2172
  Trial 12 | Epoch 43 | val 0.2188
  Trial 12 | Epoch 44 | val 0.2195
  Trial 12 | Epoch 45 | val 0.2149
  Trial 12 | Epoch 46 | val 0.2149
  Trial 12 | Epoch 47 | val 0.2161
  Trial 12 | Epoch 48 | val 0.2188
  Trial 12 | Epoch 49 | val 0.2166
[I 2026-07-20 14:40:27,807] Trial 12 finished with value: 0.21485740674096485 and parameters: {'gru_hidden': 512, 'mlp_hidden': 64, 'lr': 0.009891654587857936, 'batch_size': 128, 'lambda_future': 0.12872269230386923}. Best is trial 7 with value: 0.20808317269696747.
  Trial 14 | Epoch  0 | val 0.2209
  Trial 14 | Epoch  1 | val 0.2196
  Trial 14 | Epoch  2 | val 0.2182
  Trial 14 | Epoch  3 | val 0.2136
  Trial 14 | Epoch  4 | val 0.2112
  Trial 14 | Epoch  5 | val 0.2128
  Trial 14 | Epoch  6 | val 0.2126
  Trial 14 | Epoch  7 | val 0.2055
  Trial 14 | Epoch  8 | val 0.2070
  Trial 14 | Epoch  9 | val 0.2117
  Trial 14 | Epoch 10 | val 0.2068
  Trial 14 | Epoch 11 | val 0.2053
  Trial 14 | Epoch 12 | val 0.2059
  Trial 14 | Epoch 13 | val 0.2041
  Trial 14 | Epoch 14 | val 0.2049
  Trial 14 | Epoch 15 | val 0.2029
  Trial 14 | Epoch 16 | val 0.2062
  Trial 14 | Epoch 17 | val 0.2044
  Trial 14 | Epoch 18 | val 0.2013
  Trial 14 | Epoch 19 | val 0.2027
  Trial 14 | Epoch 20 | val 0.2019
  Trial 14 | Epoch 21 | val 0.2081
  Trial 14 | Epoch 22 | val 0.2040
  Trial 14 | Epoch 23 | val 0.2007
  Trial 14 | Epoch 24 | val 0.1991
  Trial 14 | Epoch 25 | val 0.2014
  Trial 14 | Epoch 26 | val 0.2002
  Trial 14 | Epoch 27 | val 0.1992
  Trial 14 | Epoch 28 | val 0.2018
  Trial 14 | Epoch 29 | val 0.1988
  Trial 14 | Epoch 30 | val 0.1998
  Trial 14 | Epoch 31 | val 0.1983
  Trial 14 | Epoch 32 | val 0.1998
  Trial 14 | Epoch 33 | val 0.1995
  Trial 14 | Epoch 34 | val 0.1995
  Trial 14 | Epoch 35 | val 0.1993
  Trial 14 | Epoch 36 | val 0.2012
  Trial 14 | Epoch 37 | val 0.1980
  Trial 14 | Epoch 38 | val 0.1997
  Trial 14 | Epoch 39 | val 0.1990
  Trial 14 | Epoch 40 | val 0.1976
  Trial 14 | Epoch 41 | val 0.1984
  Trial 14 | Epoch 42 | val 0.1971
  Trial 14 | Epoch 43 | val 0.1972
  Trial 14 | Epoch 44 | val 0.1970
  Trial 14 | Epoch 45 | val 0.1959
  Trial 14 | Epoch 46 | val 0.1984
  Trial 14 | Epoch 47 | val 0.1975
  Trial 14 | Epoch 48 | val 0.1974
  Trial 14 | Epoch 49 | val 0.2031
[I 2026-07-20 14:44:29,432] Trial 14 finished with value: 0.1958882038356268 and parameters: {'gru_hidden': 512, 'mlp_hidden': 128, 'lr': 0.005210179715225671, 'batch_size': 32, 'lambda_future': 0.08362777920164557}. Best is trial 13 with value: 0.19239214838248248.
  Trial 18 | Epoch  0 | val 0.2185
  Trial 18 | Epoch  1 | val 0.2108
  Trial 18 | Epoch  2 | val 0.2084
  Trial 18 | Epoch  3 | val 0.2089
  Trial 18 | Epoch  4 | val 0.2077
  Trial 18 | Epoch  5 | val 0.2054
  Trial 18 | Epoch  6 | val 0.2062
  Trial 18 | Epoch  7 | val 0.2014
  Trial 18 | Epoch  8 | val 0.2054
  Trial 18 | Epoch  9 | val 0.2038
  Trial 18 | Epoch 10 | val 0.2040
  Trial 18 | Epoch 11 | val 0.1992
  Trial 18 | Epoch 12 | val 0.2015
  Trial 18 | Epoch 13 | val 0.1992
  Trial 18 | Epoch 14 | val 0.1997
  Trial 18 | Epoch 15 | val 0.1981
  Trial 18 | Epoch 16 | val 0.1979
  Trial 18 | Epoch 17 | val 0.1969
  Trial 18 | Epoch 18 | val 0.1981
  Trial 18 | Epoch 19 | val 0.1977
  Trial 18 | Epoch 20 | val 0.1957
  Trial 18 | Epoch 21 | val 0.1976
  Trial 18 | Epoch 22 | val 0.1961
  Trial 18 | Epoch 23 | val 0.1981
  Trial 18 | Epoch 24 | val 0.1952
  Trial 18 | Epoch 25 | val 0.1969
  Trial 18 | Epoch 26 | val 0.1966
  Trial 18 | Epoch 27 | val 0.1954
  Trial 18 | Epoch 28 | val 0.1945
  Trial 18 | Epoch 29 | val 0.1950
  Trial 18 | Epoch 30 | val 0.1977
  Trial 18 | Epoch 31 | val 0.1936
  Trial 18 | Epoch 32 | val 0.1931
  Trial 18 | Epoch 33 | val 0.1939
  Trial 18 | Epoch 34 | val 0.1953
  Trial 18 | Epoch 35 | val 0.1949
  Trial 18 | Epoch 36 | val 0.1938
  Trial 18 | Epoch 37 | val 0.1925
  Trial 18 | Epoch 38 | val 0.1919
  Trial 18 | Epoch 39 | val 0.1919
  Trial 18 | Epoch 40 | val 0.1923
  Trial 18 | Epoch 41 | val 0.1923
  Trial 18 | Epoch 42 | val 0.1909
  Trial 18 | Epoch 43 | val 0.1912
  Trial 18 | Epoch 44 | val 0.1932
  Trial 18 | Epoch 45 | val 0.1919
  Trial 18 | Epoch 46 | val 0.1925
  Trial 18 | Epoch 47 | val 0.1908
  Trial 18 | Epoch 48 | val 0.1923
  Trial 18 | Epoch 49 | val 0.1904
[I 2026-07-20 14:48:25,930] Trial 18 finished with value: 0.19037109304066988 and parameters: {'gru_hidden': 512, 'mlp_hidden': 128, 'lr': 0.004909999544731712, 'batch_size': 32, 'lambda_future': 0.0532910400531344}. Best is trial 18 with value: 0.19037109304066988.
  Trial 24 | Epoch  0 | val 0.2190
  Trial 24 | Epoch  1 | val 0.2137
  Trial 24 | Epoch  2 | val 0.2079
  Trial 24 | Epoch  3 | val 0.2109
  Trial 24 | Epoch  4 | val 0.2067
  Trial 24 | Epoch  5 | val 0.2057
  Trial 24 | Epoch  6 | val 0.2062
  Trial 24 | Epoch  7 | val 0.2047
  Trial 24 | Epoch  8 | val 0.2020
  Trial 24 | Epoch  9 | val 0.2026
  Trial 24 | Epoch 10 | val 0.2031
  Trial 24 | Epoch 11 | val 0.2002
  Trial 24 | Epoch 12 | val 0.2036
  Trial 24 | Epoch 13 | val 0.1998
  Trial 24 | Epoch 14 | val 0.2000
  Trial 24 | Epoch 15 | val 0.1978
  Trial 24 | Epoch 16 | val 0.1992
  Trial 24 | Epoch 17 | val 0.2030
  Trial 24 | Epoch 18 | val 0.1968
  Trial 24 | Epoch 19 | val 0.1968
  Trial 24 | Epoch 20 | val 0.1990
  Trial 24 | Epoch 21 | val 0.1973
  Trial 24 | Epoch 22 | val 0.1954
  Trial 24 | Epoch 23 | val 0.1946
  Trial 24 | Epoch 24 | val 0.1944
  Trial 24 | Epoch 25 | val 0.1938
  Trial 24 | Epoch 26 | val 0.1940
  Trial 24 | Epoch 27 | val 0.1948
  Trial 24 | Epoch 28 | val 0.1926
  Trial 24 | Epoch 29 | val 0.1950
  Trial 24 | Epoch 30 | val 0.1940
  Trial 24 | Epoch 31 | val 0.1935
  Trial 24 | Epoch 32 | val 0.1927
  Trial 24 | Epoch 33 | val 0.1919
  Trial 24 | Epoch 34 | val 0.1936
  Trial 24 | Epoch 35 | val 0.1913
  Trial 24 | Epoch 36 | val 0.1914
  Trial 24 | Epoch 37 | val 0.1913
  Trial 24 | Epoch 38 | val 0.1908
  Trial 24 | Epoch 39 | val 0.1914
  Trial 24 | Epoch 40 | val 0.1933
  Trial 24 | Epoch 41 | val 0.1899
  Trial 24 | Epoch 42 | val 0.1906
  Trial 24 | Epoch 43 | val 0.1933
  Trial 24 | Epoch 44 | val 0.1918
  Trial 24 | Epoch 45 | val 0.1892
  Trial 24 | Epoch 46 | val 0.1913
  Trial 24 | Epoch 47 | val 0.1929
  Trial 24 | Epoch 48 | val 0.1897
  Trial 24 | Epoch 49 | val 0.1894
[I 2026-07-20 14:52:21,459] Trial 24 finished with value: 0.18919067019433305 and parameters: {'gru_hidden': 512, 'mlp_hidden': 128, 'lr': 0.0038139114562008637, 'batch_size': 32, 'lambda_future': 0.053076977868201876}. Best is trial 24 with value: 0.18919067019433305.
  Trial 33 | Epoch  0 | val 0.2295
  Trial 33 | Epoch  1 | val 0.2269
  Trial 33 | Epoch  2 | val 0.2196
  Trial 33 | Epoch  3 | val 0.2157
  Trial 33 | Epoch  4 | val 0.2145
  Trial 33 | Epoch  5 | val 0.2162
  Trial 33 | Epoch  6 | val 0.2156
  Trial 33 | Epoch  7 | val 0.2151
  Trial 33 | Epoch  8 | val 0.2129
[I 2026-07-20 14:53:01,307] Trial 33 pruned. 
  Trial 36 | Epoch  0 | val 0.2319
  Trial 36 | Epoch  1 | val 0.2180
  Trial 36 | Epoch  2 | val 0.2136
  Trial 36 | Epoch  3 | val 0.2103
  Trial 36 | Epoch  4 | val 0.2058
  Trial 36 | Epoch  5 | val 0.2055
  Trial 36 | Epoch  6 | val 0.2065
  Trial 36 | Epoch  7 | val 0.2060
  Trial 36 | Epoch  8 | val 0.2042
  Trial 36 | Epoch  9 | val 0.2057
  Trial 36 | Epoch 10 | val 0.2024
  Trial 36 | Epoch 11 | val 0.2027
  Trial 36 | Epoch 12 | val 0.2024
  Trial 36 | Epoch 13 | val 0.2023
  Trial 36 | Epoch 14 | val 0.2009
  Trial 36 | Epoch 15 | val 0.2019
  Trial 36 | Epoch 16 | val 0.2018
  Trial 36 | Epoch 17 | val 0.2007
  Trial 36 | Epoch 18 | val 0.2017
  Trial 36 | Epoch 19 | val 0.2016
  Trial 36 | Epoch 20 | val 0.1998
  Trial 36 | Epoch 21 | val 0.1981
