Device: cuda | threads: 4
=== FASE 3 | 13 trial (questo worker) | 50 epoche ===

Caricamento dataset...
Trovati 34 trial.
  [trial_20260519_151133.csv] attenzione: calibrazione a riposo su 37 campioni (< 50)
Dataset: 27290 campioni da 34 trial.
Best arch (fase 1/2):   gru_hidden=512, mlp_hidden=128
Best training (fase 2): lr=4.08e-03, batch_size=32, lambda_future=0.108 (val 0.2017)

[I 2026-07-20 14:35:36,970] Using an existing study with name 'fish_forward_phase3' instead of creating a new one.
  Trial 2 | Epoch  0 | val 0.3039
  Trial 2 | Epoch  1 | val 0.2654
  Trial 2 | Epoch  2 | val 0.2524
  Trial 2 | Epoch  3 | val 0.2434
  Trial 2 | Epoch  4 | val 0.2390
  Trial 2 | Epoch  5 | val 0.2353
  Trial 2 | Epoch  6 | val 0.2337
  Trial 2 | Epoch  7 | val 0.2300
  Trial 2 | Epoch  8 | val 0.2290
  Trial 2 | Epoch  9 | val 0.2275
  Trial 2 | Epoch 10 | val 0.2263
  Trial 2 | Epoch 11 | val 0.2251
  Trial 2 | Epoch 12 | val 0.2249
  Trial 2 | Epoch 13 | val 0.2264
  Trial 2 | Epoch 14 | val 0.2247
  Trial 2 | Epoch 15 | val 0.2238
  Trial 2 | Epoch 16 | val 0.2238
  Trial 2 | Epoch 17 | val 0.2232
  Trial 2 | Epoch 18 | val 0.2235
  Trial 2 | Epoch 19 | val 0.2231
  Trial 2 | Epoch 20 | val 0.2230
  Trial 2 | Epoch 21 | val 0.2224
  Trial 2 | Epoch 22 | val 0.2222
  Trial 2 | Epoch 23 | val 0.2226
  Trial 2 | Epoch 24 | val 0.2213
  Trial 2 | Epoch 25 | val 0.2240
  Trial 2 | Epoch 26 | val 0.2201
  Trial 2 | Epoch 27 | val 0.2202
  Trial 2 | Epoch 28 | val 0.2232
  Trial 2 | Epoch 29 | val 0.2202
  Trial 2 | Epoch 30 | val 0.2196
  Trial 2 | Epoch 31 | val 0.2191
  Trial 2 | Epoch 32 | val 0.2188
  Trial 2 | Epoch 33 | val 0.2184
  Trial 2 | Epoch 34 | val 0.2188
  Trial 2 | Epoch 35 | val 0.2185
  Trial 2 | Epoch 36 | val 0.2184
  Trial 2 | Epoch 37 | val 0.2177
  Trial 2 | Epoch 38 | val 0.2180
  Trial 2 | Epoch 39 | val 0.2174
  Trial 2 | Epoch 40 | val 0.2169
  Trial 2 | Epoch 41 | val 0.2171
  Trial 2 | Epoch 42 | val 0.2175
  Trial 2 | Epoch 43 | val 0.2182
  Trial 2 | Epoch 44 | val 0.2181
  Trial 2 | Epoch 45 | val 0.2177
  Trial 2 | Epoch 46 | val 0.2170
  Trial 2 | Epoch 47 | val 0.2161
  Trial 2 | Epoch 48 | val 0.2163
  Trial 2 | Epoch 49 | val 0.2151
[I 2026-07-20 14:36:47,397] Trial 2 finished with value: 0.2151012282038844 and parameters: {'gru_hidden': 512, 'mlp_hidden': 256, 'lr': 0.0012625642515699637, 'batch_size': 128, 'lambda_future': 0.17699537558427486}. Best is trial 2 with value: 0.2151012282038844.
  Trial 6 | Epoch  0 | val 0.3274
  Trial 6 | Epoch  1 | val 0.3015
  Trial 6 | Epoch  2 | val 0.2935
  Trial 6 | Epoch  3 | val 0.2924
  Trial 6 | Epoch  4 | val 0.2958
  Trial 6 | Epoch  5 | val 0.2900
  Trial 6 | Epoch  6 | val 0.2922
  Trial 6 | Epoch  7 | val 0.2912
  Trial 6 | Epoch  8 | val 0.2896
  Trial 6 | Epoch  9 | val 0.2832
  Trial 6 | Epoch 10 | val 0.2852
  Trial 6 | Epoch 11 | val 0.2861
  Trial 6 | Epoch 12 | val 0.2862
  Trial 6 | Epoch 13 | val 0.2840
  Trial 6 | Epoch 14 | val 0.2840
  Trial 6 | Epoch 15 | val 0.2838
  Trial 6 | Epoch 16 | val 0.2881
  Trial 6 | Epoch 17 | val 0.2843
  Trial 6 | Epoch 18 | val 0.2815
  Trial 6 | Epoch 19 | val 0.5246
  Trial 6 | Epoch 20 | val 0.3581
  Trial 6 | Epoch 21 | val 0.3302
  Trial 6 | Epoch 22 | val 0.3270
  Trial 6 | Epoch 23 | val 0.3194
[I 2026-07-20 14:38:56,963] Trial 6 pruned. 
  Trial 10 | Epoch  0 | val 0.3097
  Trial 10 | Epoch  1 | val 0.3087
  Trial 10 | Epoch  2 | val 0.2983
  Trial 10 | Epoch  3 | val 0.2984
  Trial 10 | Epoch  4 | val 0.3222
  Trial 10 | Epoch  5 | val 0.2976
  Trial 10 | Epoch  6 | val 0.2901
  Trial 10 | Epoch  7 | val 0.2913
  Trial 10 | Epoch  8 | val 0.2867
[I 2026-07-20 14:39:22,351] Trial 10 pruned. 
  Trial 13 | Epoch  0 | val 0.2252
  Trial 13 | Epoch  1 | val 0.2221
  Trial 13 | Epoch  2 | val 0.2202
  Trial 13 | Epoch  3 | val 0.2139
  Trial 13 | Epoch  4 | val 0.2072
  Trial 13 | Epoch  5 | val 0.2069
  Trial 13 | Epoch  6 | val 0.2053
  Trial 13 | Epoch  7 | val 0.2040
  Trial 13 | Epoch  8 | val 0.2063
  Trial 13 | Epoch  9 | val 0.2064
  Trial 13 | Epoch 10 | val 0.2035
  Trial 13 | Epoch 11 | val 0.2028
  Trial 13 | Epoch 12 | val 0.2042
  Trial 13 | Epoch 13 | val 0.2006
  Trial 13 | Epoch 14 | val 0.2015
  Trial 13 | Epoch 15 | val 0.2014
  Trial 13 | Epoch 16 | val 0.1995
  Trial 13 | Epoch 17 | val 0.2010
  Trial 13 | Epoch 18 | val 0.2008
  Trial 13 | Epoch 19 | val 0.1996
  Trial 13 | Epoch 20 | val 0.1984
  Trial 13 | Epoch 21 | val 0.1990
  Trial 13 | Epoch 22 | val 0.1986
  Trial 13 | Epoch 23 | val 0.1992
  Trial 13 | Epoch 24 | val 0.1971
  Trial 13 | Epoch 25 | val 0.1992
  Trial 13 | Epoch 26 | val 0.1965
  Trial 13 | Epoch 27 | val 0.1971
  Trial 13 | Epoch 28 | val 0.1971
  Trial 13 | Epoch 29 | val 0.1964
  Trial 13 | Epoch 30 | val 0.1968
  Trial 13 | Epoch 31 | val 0.1970
  Trial 13 | Epoch 32 | val 0.1946
  Trial 13 | Epoch 33 | val 0.1954
  Trial 13 | Epoch 34 | val 0.1972
  Trial 13 | Epoch 35 | val 0.1945
  Trial 13 | Epoch 36 | val 0.1940
  Trial 13 | Epoch 37 | val 0.1941
  Trial 13 | Epoch 38 | val 0.1945
  Trial 13 | Epoch 39 | val 0.1937
  Trial 13 | Epoch 40 | val 0.1925
  Trial 13 | Epoch 41 | val 0.1947
  Trial 13 | Epoch 42 | val 0.1928
  Trial 13 | Epoch 43 | val 0.1949
  Trial 13 | Epoch 44 | val 0.1930
  Trial 13 | Epoch 45 | val 0.1932
  Trial 13 | Epoch 46 | val 0.1950
  Trial 13 | Epoch 47 | val 0.1940
  Trial 13 | Epoch 48 | val 0.1924
  Trial 13 | Epoch 49 | val 0.1937
[I 2026-07-20 14:43:32,837] Trial 13 finished with value: 0.19239214838248248 and parameters: {'gru_hidden': 512, 'mlp_hidden': 128, 'lr': 0.004920028506786374, 'batch_size': 32, 'lambda_future': 0.06529224434938191}. Best is trial 13 with value: 0.19239214838248248.
  Trial 17 | Epoch  0 | val 0.2152
  Trial 17 | Epoch  1 | val 0.2161
  Trial 17 | Epoch  2 | val 0.2091
  Trial 17 | Epoch  3 | val 0.2079
  Trial 17 | Epoch  4 | val 0.2077
  Trial 17 | Epoch  5 | val 0.2050
  Trial 17 | Epoch  6 | val 0.2030
  Trial 17 | Epoch  7 | val 0.2036
  Trial 17 | Epoch  8 | val 0.2016
  Trial 17 | Epoch  9 | val 0.2027
  Trial 17 | Epoch 10 | val 0.2001
  Trial 17 | Epoch 11 | val 0.1994
  Trial 17 | Epoch 12 | val 0.2007
  Trial 17 | Epoch 13 | val 0.1992
  Trial 17 | Epoch 14 | val 0.1994
  Trial 17 | Epoch 15 | val 0.1997
  Trial 17 | Epoch 16 | val 0.1975
  Trial 17 | Epoch 17 | val 0.1993
  Trial 17 | Epoch 18 | val 0.1992
  Trial 17 | Epoch 19 | val 0.1975
  Trial 17 | Epoch 20 | val 0.1974
  Trial 17 | Epoch 21 | val 0.1954
  Trial 17 | Epoch 22 | val 0.1970
  Trial 17 | Epoch 23 | val 0.1973
  Trial 17 | Epoch 24 | val 0.1974
  Trial 17 | Epoch 25 | val 0.1954
  Trial 17 | Epoch 26 | val 0.1965
  Trial 17 | Epoch 27 | val 0.1947
  Trial 17 | Epoch 28 | val 0.1945
  Trial 17 | Epoch 29 | val 0.1957
  Trial 17 | Epoch 30 | val 0.1966
  Trial 17 | Epoch 31 | val 0.1947
  Trial 17 | Epoch 32 | val 0.1925
  Trial 17 | Epoch 33 | val 0.1941
  Trial 17 | Epoch 34 | val 0.1934
  Trial 17 | Epoch 35 | val 0.1921
  Trial 17 | Epoch 36 | val 0.1938
  Trial 17 | Epoch 37 | val 0.1924
  Trial 17 | Epoch 38 | val 0.1912
  Trial 17 | Epoch 39 | val 0.1934
  Trial 17 | Epoch 40 | val 0.1920
  Trial 17 | Epoch 41 | val 0.1928
  Trial 17 | Epoch 42 | val 0.1956
  Trial 17 | Epoch 43 | val 0.1909
  Trial 17 | Epoch 44 | val 0.1908
  Trial 17 | Epoch 45 | val 0.1905
  Trial 17 | Epoch 46 | val 0.1917
  Trial 17 | Epoch 47 | val 0.1917
  Trial 17 | Epoch 48 | val 0.1920
  Trial 17 | Epoch 49 | val 0.1922
[I 2026-07-20 14:47:32,823] Trial 17 finished with value: 0.1904955919810206 and parameters: {'gru_hidden': 512, 'mlp_hidden': 128, 'lr': 0.00493516478760927, 'batch_size': 32, 'lambda_future': 0.05171339936346772}. Best is trial 17 with value: 0.1904955919810206.
  Trial 22 | Epoch  0 | val 0.2658
  Trial 22 | Epoch  1 | val 0.2598
  Trial 22 | Epoch  2 | val 0.2463
  Trial 22 | Epoch  3 | val 0.2524
  Trial 22 | Epoch  4 | val 0.2453
  Trial 22 | Epoch  5 | val 0.2469
  Trial 22 | Epoch  6 | val 0.2484
  Trial 22 | Epoch  7 | val 0.2451
  Trial 22 | Epoch  8 | val 0.2403
[I 2026-07-20 14:48:12,419] Trial 22 pruned. 
  Trial 23 | Epoch  0 | val 0.2322
  Trial 23 | Epoch  1 | val 0.2251
  Trial 23 | Epoch  2 | val 0.2212
  Trial 23 | Epoch  3 | val 0.2242
  Trial 23 | Epoch  4 | val 0.2189
  Trial 23 | Epoch  5 | val 0.2174
  Trial 23 | Epoch  6 | val 0.2154
  Trial 23 | Epoch  7 | val 0.2153
  Trial 23 | Epoch  8 | val 0.2146
  Trial 23 | Epoch  9 | val 0.2125
  Trial 23 | Epoch 10 | val 0.2147
  Trial 23 | Epoch 11 | val 0.2130
  Trial 23 | Epoch 12 | val 0.2113
  Trial 23 | Epoch 13 | val 0.2112
  Trial 23 | Epoch 14 | val 0.2119
  Trial 23 | Epoch 15 | val 0.2116
  Trial 23 | Epoch 16 | val 0.2095
  Trial 23 | Epoch 17 | val 0.2083
  Trial 23 | Epoch 18 | val 0.2075
  Trial 23 | Epoch 19 | val 0.2070
  Trial 23 | Epoch 20 | val 0.2076
  Trial 23 | Epoch 21 | val 0.2079
  Trial 23 | Epoch 22 | val 0.2056
  Trial 23 | Epoch 23 | val 0.2047
  Trial 23 | Epoch 24 | val 0.2068
  Trial 23 | Epoch 25 | val 0.2069
  Trial 23 | Epoch 26 | val 0.2047
  Trial 23 | Epoch 27 | val 0.2070
  Trial 23 | Epoch 28 | val 0.2050
  Trial 23 | Epoch 29 | val 0.2067
  Trial 23 | Epoch 30 | val 0.2052
  Trial 23 | Epoch 31 | val 0.2042
  Trial 23 | Epoch 32 | val 0.2052
  Trial 23 | Epoch 33 | val 0.2025
  Trial 23 | Epoch 34 | val 0.2041
  Trial 23 | Epoch 35 | val 0.2033
  Trial 23 | Epoch 36 | val 0.2036
  Trial 23 | Epoch 37 | val 0.2036
  Trial 23 | Epoch 38 | val 0.2043
  Trial 23 | Epoch 39 | val 0.2036
  Trial 23 | Epoch 40 | val 0.2025
  Trial 23 | Epoch 41 | val 0.2019
  Trial 23 | Epoch 42 | val 0.2068
  Trial 23 | Epoch 43 | val 0.2029
  Trial 23 | Epoch 44 | val 0.2012
  Trial 23 | Epoch 45 | val 0.2046
  Trial 23 | Epoch 46 | val 0.1994
  Trial 23 | Epoch 47 | val 0.2029
  Trial 23 | Epoch 48 | val 0.2019
  Trial 23 | Epoch 49 | val 0.2016
[I 2026-07-20 14:52:09,519] Trial 23 finished with value: 0.19944321015599178 and parameters: {'gru_hidden': 512, 'mlp_hidden': 128, 'lr': 0.0034406279951605155, 'batch_size': 32, 'lambda_future': 0.12308529077131199}. Best is trial 18 with value: 0.19037109304066988.
  Trial 32 | Epoch  0 | val 0.2263
  Trial 32 | Epoch  1 | val 0.2186
  Trial 32 | Epoch  2 | val 0.2188
  Trial 32 | Epoch  3 | val 0.2176
  Trial 32 | Epoch  4 | val 0.2163
  Trial 32 | Epoch  5 | val 0.2136
  Trial 32 | Epoch  6 | val 0.2136
  Trial 32 | Epoch  7 | val 0.2139
  Trial 32 | Epoch  8 | val 0.2171
[I 2026-07-20 14:52:49,700] Trial 32 pruned. 
  Trial 35 | Epoch  0 | val 0.2257
  Trial 35 | Epoch  1 | val 0.2247
  Trial 35 | Epoch  2 | val 0.2202
  Trial 35 | Epoch  3 | val 0.2144
  Trial 35 | Epoch  4 | val 0.2118
  Trial 35 | Epoch  5 | val 0.2121
  Trial 35 | Epoch  6 | val 0.2088
  Trial 35 | Epoch  7 | val 0.2108
  Trial 35 | Epoch  8 | val 0.2061
  Trial 35 | Epoch  9 | val 0.2084
  Trial 35 | Epoch 10 | val 0.2106
  Trial 35 | Epoch 11 | val 0.2055
  Trial 35 | Epoch 12 | val 0.2047
  Trial 35 | Epoch 13 | val 0.2050
  Trial 35 | Epoch 14 | val 0.2052
  Trial 35 | Epoch 15 | val 0.2042
[I 2026-07-20 14:54:09,040] Trial 35 pruned. 
  Trial 39 | Epoch  0 | val 0.2553
  Trial 39 | Epoch  1 | val 0.2373
  Trial 39 | Epoch  2 | val 0.2330
  Trial 39 | Epoch  3 | val 0.2284
  Trial 39 | Epoch  4 | val 0.2304
  Trial 39 | Epoch  5 | val 0.2287
  Trial 39 | Epoch  6 | val 0.2246
  Trial 39 | Epoch  7 | val 0.2252
  Trial 39 | Epoch  8 | val 0.2253
[I 2026-07-20 14:54:22,331] Trial 39 pruned. 
  Trial 43 | Epoch  0 | val 0.2571
  Trial 43 | Epoch  1 | val 0.2411
  Trial 43 | Epoch  2 | val 0.2420
  Trial 43 | Epoch  3 | val 0.2350
  Trial 43 | Epoch  4 | val 0.2323
  Trial 43 | Epoch  5 | val 0.2311
  Trial 43 | Epoch  6 | val 0.2308
  Trial 43 | Epoch  7 | val 0.2296
  Trial 43 | Epoch  8 | val 0.2307
[I 2026-07-20 14:54:35,497] Trial 43 pruned. 
  Trial 46 | Epoch  0 | val 0.2366
  Trial 46 | Epoch  1 | val 0.2204
  Trial 46 | Epoch  2 | val 0.2127
  Trial 46 | Epoch  3 | val 0.2142
  Trial 46 | Epoch  4 | val 0.2095
  Trial 46 | Epoch  5 | val 0.2077
  Trial 46 | Epoch  6 | val 0.2100
  Trial 46 | Epoch  7 | val 0.2040
  Trial 46 | Epoch  8 | val 0.2083
  Trial 46 | Epoch  9 | val 0.2046
  Trial 46 | Epoch 10 | val 0.2038
  Trial 46 | Epoch 11 | val 0.2031
  Trial 46 | Epoch 12 | val 0.2033
  Trial 46 | Epoch 13 | val 0.2034
  Trial 46 | Epoch 14 | val 0.2014
  Trial 46 | Epoch 15 | val 0.2020
  Trial 46 | Epoch 16 | val 0.2011
  Trial 46 | Epoch 17 | val 0.2015
  Trial 46 | Epoch 18 | val 0.2008
  Trial 46 | Epoch 19 | val 0.2016
  Trial 46 | Epoch 20 | val 0.2010
  Trial 46 | Epoch 21 | val 0.1987
  Trial 46 | Epoch 22 | val 0.1991
  Trial 46 | Epoch 23 | val 0.1989
  Trial 46 | Epoch 24 | val 0.1995
  Trial 46 | Epoch 25 | val 0.1979
  Trial 46 | Epoch 26 | val 0.1978
  Trial 46 | Epoch 27 | val 0.1981
  Trial 46 | Epoch 28 | val 0.1976
  Trial 46 | Epoch 29 | val 0.1964
  Trial 46 | Epoch 30 | val 0.1975
  Trial 46 | Epoch 31 | val 0.1955
  Trial 46 | Epoch 32 | val 0.1955
  Trial 46 | Epoch 33 | val 0.1946
  Trial 46 | Epoch 34 | val 0.1945
  Trial 46 | Epoch 35 | val 0.1943
  Trial 46 | Epoch 36 | val 0.1946
  Trial 46 | Epoch 37 | val 0.1956
  Trial 46 | Epoch 38 | val 0.1936
  Trial 46 | Epoch 39 | val 0.1956
  Trial 46 | Epoch 40 | val 0.1940
  Trial 46 | Epoch 41 | val 0.1945
  Trial 46 | Epoch 42 | val 0.1949
  Trial 46 | Epoch 43 | val 0.1919
  Trial 46 | Epoch 44 | val 0.1921
  Trial 46 | Epoch 45 | val 0.1912
  Trial 46 | Epoch 46 | val 0.1936
  Trial 46 | Epoch 47 | val 0.1960
  Trial 46 | Epoch 48 | val 0.1923
  Trial 46 | Epoch 49 | val 0.1900
